Português	Tupi Antigo
Trabalho com mariscos	Paranãmbora ri aîkó
Do nada fez nossa alma, com sua palavra é que ele a fez	Nama'eruã oîmonhang asé 'angamo, o nhe'enga pupé é i monhangi
no fundo da água	y pype
Eu estou amargo	Xe 'ak
Ah, quem me dera esconder alguma coisa do fulano!	Anhomim temõ ahẽ mba'e amõ mã!
corpo morto	Teté-kanhema
Narrar as coisas segundo o modo em que Deus o instruiu	Tupã o motekokuapaba rupi mba'e mombe'u
Ao estar o sol no meio do mundo	Kûarasy 'ara pyterype seneme
Deus-Pai fez-te vir	Tupã Tuba nde mbouri
"""Vou para ir"" (isto é, vou para morar)"	Gûixóbo asó
Eu não levanto a cabeça	Na xe 'aîubyri
Arranca-te o nome para que sejas muito famoso	Eîerok ta nde rerapûãngatu
Tendo também coroas vermelhas e brilhantes	Akanetá-pyrã-beraba reroínano
Tenho jeito para a coisa	A'ekatu mba'e resé
Quais as novidades? Quais as novas?	Marãpe moranduba?
Desvirginaste alguma menina?	Ereîmombukype kunhataĩ amõ?
A dança é que é boa, enfeitar-se, pintar-se de preto	Moraseîa é i katu, îegûaka, îemoúna
Fazendo levar imediatamente para o céu os que resgataram bem seus pecados ainda neste mundo	Ikó 'ara pupé bé o angaîpagûera repyme'ẽngatusarûera ybakype aûnhenhẽ serasó-uká
Ao passar minha família, tu cuidavas dela	Xe anama gûatasápe, nde morerekoá sesé
Eu sou esquecidiço	Xe resaraîpotar
Eu estou muito melancólico	Xe pytubarusu
Minha pele tem titinga	Xe tĩ-titing - Meu nariz tem titinga Xe py-titing - Meus pés têm titinga Xe pi-titing
Como se fosse aquele que não morrerá	Akó omanõba'erame'yma berame'ĩ
Afasta o jurupari deste mundo	Eîpe'a îurupari kó 'ara suí
Oh! Quem aqui dá a cara?	To, ahẽ! Abápe ké sobasẽ?
Minha mãe, vem!	A'i, eîori!
Vivo mal	Aîkó-poxy
Eu estou muito arrepiado	Xe pita'i-ta'i
Emergi como que do fundo	Ypy suí berame'ĩ abur
Mudarei de nome hoje, por causa deles	Aîerok kori seséne
Tu terás a alma limpa	Nde 'ã-kytyngokyne
Faze-nos tu viver	Oré moingobé îepé
Embora eu fosse	Aûîebé-temo asó
Lançando fora a sujeira de minha alma	Xe 'anga ky'a reîtyka
E não confessando ser parente, de fato, de seu marido ou de sua esposa, que acontece?	A'epe o mena koîpó o emirekó mũetéramo sekó mombe'ue'yma, marã?
Dizendo maldades à toa para alguém, dando-lhe má fama	Abá supé marã o'îabo tenhẽ, i moerapûana
Logo depois de dizer aquilo para ele, lançou o pagamento por seu senhor no templo, indo finalmente enforcar-se	Aîpó oîoupé 'é abé, o îara repypûera reîtyki Tupãokype aûîé osóbo oîeaîubyka
Por que põe sua saliva no nariz da gente?	Mba'erama ripe asé tĩme o endy moíni?
na tua terra	nde retãme
dois ladrões	mokõî mondabora
Por isso mesmo eles estão felizes, pela permanência dele junto à casa de Deus	Nd'e'i te'e og orybamo, Tupãó-pyri i pytasagûera resé
Enfim, esses temiminós não acatam a lei de Deus	Aûîé, kó temiminõ nd'ogûari Tupã rekó
Eia vós, avante!	Pe katunhẽ
couraça com lâminas	itaoba i apenhugûã-nhugûanyba'e
Nas minhas mãos, somente, levei-as	Xe pópe nhote arasó
Vem para fazê-lo experimentar o sofrimento	Eîori i moporaraa'anga
Desobedeci a ele	Aîmoabangab
Encaixotei-me as coisas	Anhemba'e-nhang
Eu estava pendente	Xe apy'am
Por isso mesmo veio como precursor de Nosso Senhor, anunciando-o	Nd'e'i te'e oú Îandé Îara renotaramo, i mombegûabo
Sobre ela morrendo Nosso Senhor para nos resgatar	I 'arybo omanõmo Îandé Îara îandé repyme'engagûera resé
Transgridem muito a palavra de Deus os que se casam, sendo traidores um do outro?	Oîabyetépe omendaryba'e Tupã nhe'enga o îosuí omondarõmo?
Eis que a todos nós vence, como também já venceu os antepassados	Opá ã îandé moaûîéû tamyîpagûama moaûîé ymã îabé bé
Sofreu, suportando o fogo, tendo alegria após sua morte	Sosang, tatá porarábo, o manõ riré toryba rerekóbo
E Judas não se afligiu junto aos judeus pela traição a seu senhor?	A'epe Îudas n'oîkotebẽî Îudeus supé o îara me'engagûera resé?
Eu sou sociável	Xe îekotyarixûer
fazendo-me estar sozinho	oîepebẽ xe moingóbo re'ĩ
Procuremos alimentos para aqueles homens	T'i poraká apó abá
Todos os impedimentos do casamento já mencionei	Opá mendara moarûapaba aîmombe'u ymã
Bebeste cauim, temendo tua embriaguez?	Ereka'upe, nde sabeypora reroangûabo nhẽ?
Estavam felizes ao ver-me	Sory-katu xe repîaka
Eu estava-me, mesmo, esquecendo e não querendo omiti-lo	Xe resaraî é gûitekóbo, n'aseîá-potá ruã!
Tinha também fome, tinha também sede como nós?	I ambyasy bépe, i 'useî bépe asé îabé?
Fica aflito o padre por passar ali	Oîkotebẽ abaré uĩ gûasapaûama ri
Acaso o que será deixado é tudo?	Seîarypyrama ruã-tepe mba'e tetiruã kûáî?
Faço mingau	Aîapó minga'u
Estando doente, de verdade, não a ouviste, ou sendo preguiçoso?	Nde mba'easyramo épe nd'eresendubi koîpó nde ate'ymamo nhẽ?
Oh, guarda-te de acreditar neles!	Ahẽ, teumẽ serobîá!
Dissestes tolices?	Mba'epûera peîépe?
Que não vá longe a esposa	T'osó umẽ temirekó kûepe
Logo então a cruz ergueram, fincando-a?	A'eîbépe ybŷá cruz mo'ami i atykábo?
Seu sangue era muito, na terra escorrendo, dentro do horto	Sugûy turusu, ybype osyryka, mityma pupé
Minha nação, outrora, estava de acordo com a cultura primeira	Xe anama, erimba'e, tekó-ypyramo sekóû
Quando supõe cair em si a morte	Te'õ o îoesé i 'a-mo'angeme
Ralo-o	Aseé
Estou	Aîmẽ
Tornando notórios os vícios das pessoas	Abá rekopoxy mosãîa
O que não honra a Deus, seu verdadeiro criador	Tupã o monhangareté moetesare'yma
Oprime-nos o coração	Oré py'a-pyk
Rapamos nesta medida	Nãmo oroapin
antes de sua velhice	o tunhãba'e e'ymebé
quando ele diz algo acerca do bem proceder de nossa alma	asé 'anga tekokaturama resé marã i 'ereme
logo então	a'ereme bé
O homem desanima, sem mais, de comer também	Omanõaibí abá o mba'e gûápe bé
Em vão eles se esquivam, querendo fazer passar as flechas	E'i tenhẽ onhemoîtỹamo, u'uba mongûá-potá
Sua própria formosura também viram	O aysó abé osepîak
Sendo mau	O angaîpabamo
Sob tuas mãos estamos	Nde pó gûyrype oroîkó
Que puseram sobre sua cabeça?	Mba'epe onong i akanga 'arybo?
Havemos de ir à dura guerra, cara a cara uns contra os outros?	T'îasó maranatãûãme o îoupé oîobaúpa?
Hei de ir para onde me mandam Mesmo porque eu, por vontade, assim quero fazer	Îé t'asóne xe mondoápe Memeté ixé, xe py'ape, emonã tekó potá
tempo, lugar, instrumento, causa, modo, companhia, etc de matar	îukasaba
Arrancando suas aflições	I poraûsuboka
Uma moça, não tendo doze anos e um rapaz também, não chegando aos catorze anos, não podem casar-se com ninguém	Kunhãmbuku doze ro'y rerekoare'yma, kunumĩgûasu abé catorze ro'y resé i xyke'yma nd'e'ikatuî abá resé omendá
O homem que tenta, sem êxito, ter relações sexuais com uma mulher, não pode casar	Apŷaba kunhã resé o ekó osa'angîepéba'e nd'e'ikatuî omendá
Quase o matei	Aîukasûer
Tataurana, traze aqui tua muçurana!	Tataûrana, eru ké nde musurana!
o que entrega os reféns, o redentor	morepy me'engara
Tu, finalmente, perdoa a mim	Nde nhyrõ-tene xébo
Coisa muito boa é uma grande bebedeira	Mba'e-eté ka'ugûasu
o fugidor, o que costuma fugir, o fujão	kanhembora
Eis que aqui estou como teu filho pecador	Kobé aîkó nde ra'yrangaîpabĩnamo
Não o temais	Peîpoûsub ymẽ
Fizeram feridas por seu corpo todo?	Seté îakatupe ybŷá i moperé-perebi?
o que manda matá-lo	i îuká-ukasara
Eu chorei até ficar com olhos avermelhados	Xe resaapytãpytang
Por que tu me abandonaste, ó meu senhor?	Marãnamo-piã xe pe'a îepé, pa'i gûé?
Tenho jeito de o saber	Aîkugûab-arõan
O nosso chamado à mãe de Deus fá-lo sofrer muito	Tupã sy îandé senõîa oîmoasy-katu-eté
Enfim, os moços escondem seus muito maus procedimentos	Aûîé, kunumĩgûasu o ekó-aíbeté oîomim
Após tocar em seu segundo cônjuge	I mendá-mokõîa resé i byk'iré
Eu estou febril, eu tenho febre	Xe rakub
Ai! Por acaso é o Lourenço tostado?	Kaî! Rorẽ-ka'ẽ-piã?
Embelezou-te grandemente	Ndaeté nde momorangi
Como ele nos fez?	Marãpe asé monhangi?
Dei um tombo	Ayapyĩ
de três em três, três cada um	mosapy-sapyr
Dançaram a noite toda	Oporaseî pysaré
Dormiu comigo	Xe posé i keri
Sofrerá também alguma coisa ali estando?	Oîporará abépe mba'e amõ eboûĩme oîkóbone?
O juiz mandou desorelhar o ladrão	Morubixaba mondá îaînambi-'okukar
Eis que sobre o capim ele está deitado, no lugar de comer da vaca	Kapi'ĩ sosé kó tuî, tapi'irusu karuápe
caminho impraticável	pé-aíba
Logo ao ouvir o nome dela eu me escondo em outra parte	Serenduba rupibé amongoty xe nhemimi
O que não repete seus antigos pecados	O angaîpagûera reroîebysare'yma
fugitivo, o que foge	kanhembara
Para que sejamos dignos do que Cristo prometeu	T'oré angaturãne Cristo remienõîûera resé
Caem, às vezes, os frutos das suas árvores, sendo ainda flores	Okuî rakó amũme 'ybarambûera o 'yba suí 'ybotyramo oîkóbo bé
Eis aqui também a ingapema pintada	Kó bé ingapé-kûatiara
coisas que costuma sofrer	mba'e o emimboraratyba
Depois disso, vamos hoje para quebrar as cabeças dos reis	A'e ré kori îasó tubixaba akanga kábo
muito longe, fora ou ao revés do que é	aroane'ỹngatu
São famosos esses moçacaras, que são uns beberrões	Serapûan kó mosakara, i kaûĩgûasuba'e
Faço-a soar	Aîmimby
Aqui está teu danador	Oîkobé nde arûara é
Parti-o pelo meio	Oîopyterybo rupi aîmombok
Como Nosso Senhor a cura?	Marãpe Îandé îara i mombûerabi?
Assei	Amixyr
Se meter a mão neste nosso fogo é terrível, quanto mais ali	Ikó îandé ratá pupé asé po'ema biã iî abaeté, memetaé a'epe
Fizeste que uma mulher se pusesse sobre ti para fazer sexo com ela?	Ereîmonhenongype kunhã nde 'arybo sesé eîkóbo?
Deixai, pois, estes meus discípulos irem com saúde	T'e'i nhẽ ã xe boîá o marane'yma rerasóbo rõ
Mudo-me	Asem
Aonde ele foi após acabar de comer?	Mamõpe i xóû o mba'e'u-pab'iré?
Tomou-o como substituto de Judas, que entregara Deus-Filho	Îudas Tupã Ta'yra me'engarûera rekobîaramo tari
Ao lado uns dos outros seus cadáveres estavam, ao longo do mar	O îoybyri se'õmbûera paranã ybyri i kûáî
Amarram-lhe as mãos fortemente, fazendo-lhe mal	Îapopûaratã, i moangaîpapa
Há algum homem na condição de seu substituto?	Oîkobépe amõ abá sekobîaramo?
palavras vãs	nhe'ẽ-tenhẽa
Não o teríamos trazido a ti se ele não tivesse pecado	N'orogûeruri xûémo ndebe i angaîpabe'ỹmemo
o limite de minha roça	xe kó sykaba
Será que é um morcego?	Andyrá ruãpe é?
Que cheire muito bem a palavra de Deus a ele	Ta syapûãngatu Tupã rekó i xupé
Eu tenho nome	Xe rer
Desenrolei-o	Aîorab
Deveria mandá-lo	Aîmondó-monẽmo
Deito-me	Aîepysó
Eu sou exaltado	Xe kagûaíb
Devem ser substituídos a esposa ou o marido verdadeiros que estão em vossas residências?	Sekobîarõmbyrape temirekoeté koîpó meneté pe retãmendûara?
A bela proclamação de sua mãe afligiu-me muito	I xy mombe'u-poranga xe moingotebẽngatu
Eis que percebendo isso, deixei ontem minha casa	Kó anga andupa, aseîá kûesé xe roka
mulher bondosa, não tocada por homem	kunhã-angaturama abá bykagûere'yma
Invocaste em vão o nome de Deus, mentindo, sabendo ser mentira?	Eresenõî tenhẽpe Tupã rera, nde îuraragûaîamo nhẽ, îuraragûaîamo sekó kuapa?
Apoiamo-nos em ti	Oroîekok nde resé
Não me detestam as prostitutas	Na xe reroŷrõî sygûaraîybora
Aos olhos dos homens somente, mas não de verdade,	Abá resápe nhote na supi ruã-te
Jazo de costas	Oatukupepyterybo aîub
Caburé, vem correndo para que comamos os inimigos!	Kaburé, îori enhana tobaîara t'îa'u!
Sua muita bondade engrandecendo	I angaturãngatu moeburusûabo
Amarrei-lhe as pernas	Aîkupy-pûar
Nós somos muitos	Oré retá
tempo, lugar, modo, etc de aparar, de rapar, etc	pindaba
Quê? Que é? (respondendo ao que chamou)	Mba'e-pipó?
Eia, que estejais alegres	Pene'ĩ, ta pe rory
Desemporcalhei-o	Aseîkûaru'umbok
Arrepender-nos-emos, de coração, dos maus procedimentos	Îaîmoasy marãtekoagûera îandé py'a suíne
vão oco de alguma coisa, o vazio do meio de alguma coisa	apyterybỹîa
Ah, eu fui muito pecador!	Xe angaîpabeté'i ra'u mã!
Embora eles fossem obra d'Ele, alguns anjos tornaram-se maus	Aûîeté a'e semimonhangûera, karaibebé amõ amõ oîemoangaîpab
certamente! sem dúvida! assim é! tem razão! é verdade! (certificando o que outra pessoa disse)	anhẽ rakó!
o que lavra as madeiras, o carpinteiro	ybyrá pandara
Faz a cruz em nossa testa com ele (isto é, com óleo)	Asé sybasab i pupé
Cheguei (por terra)	Agûasem
Adão, nosso primeiro pai, fez-nos perder verdadeiramente, para nos queimarmos no fogo do diabo	Adão, oré rubypy, oré mokanhemeté, Anhanga ratápe nhẽ oré kaîaûama ri
Como a estes por aqui, farão comigo após minha morte	Koba'e îakatu mbype, xe re'õ roîré ybŷá xe rerekóûne
fonte, água perene	y-pabe'ymba'e
Aquele pão o padre o partiu, certamente	A'e miapepûera abaré oîmbo'i re'a
Virá novamente Jesus Cristo do céu?	Our-y bépe irã Jesus Cristo ybaka suíne?
Golpeamos um ao outro	Oronheatõî
Vim de novo para externar minha alegria	Aîur-y bé xe roryba mombegûabo
Haveis de bem recobrar o fôlego no futuro, após vos cansardes	Ta pe putu'ẽngatuté irã pe îemokane'õ ré
Estive por longo tempo	Ymûanĩ xe rekóû
Eu não tenho boca sossegada (isto é, eu sou comilão)	Na xe îuru-pyki
Invocam as mulheres o pajé Caruara	Osekyî kunhã maîé Karûara
Depois disso, os malvados estão, a altas horas, atravessando o interior das ocas	A'e ré, moxy rekóû pysaîé okybỹîa asá-asapa
Assassinaste gente após acabar a guerra, matando prisioneiros?	Ereporapitipe marana pab'iré, mbiarûera nhẽ îukábo?
O diabo me importuna	Anhanga xe moaîu
curral de vacas	tapi'irokaîa
Sede valentes junto de vosso inimigo	Peîkoeté pe robaîara pé
Portanto, tomou este dia como tempo de honrá-los em conjunto	Emonãnamo kó 'ara rari oîepegûasu i moetesabamo
animal quadrúpede que não se come	so'o-aíba
Vai à fonte	Kûãî 'ype
esteio, alicerce de casa	okytá
Hospedo-me com Pedro	Apytá Pero resé
Este é o máximo	Kó-tene i îaeté
Estão felizes os anjos, festejando este dia	Sory karaibebé, ikó 'ara momoranga
Ah! Na verdade hei de me enfeitar, pintando-me de preto	Erĩ! Aûîeté-pakó aîegûak ûinhemoúna
Leio-o	Asa'ang
Estejamos pondo armadilhas	T'îaîekotyrung îaîupa
Que venha Deus para nos alegrar	T'oú Tupã oré moorypa
Ele é grande	Xe reburusu - Eu sou grande Seburusu
Para o padre contá-lo-á para que o anuncie na igreja	Abaré supé i mombe'uû Tupãokype seronhe'engaûama rine
Fi-lo ter vontade de comer	Aîmoîurué
Salve Rainha, mãe de misericórdia, vida, a que é doce	Salve Rainha, moraûsubara sy, tekobé, se'ẽba'e
o que seria morto	miîukarambûera
Detesto minha lei antiga	Aroŷrõ xe rekopûera
minhas coisinhas	xe mba'e'ĩ
Senhora da vida	Tekobé îara
Faço a brincadeira, o jogo	Nhemosaraîa aîmonhang
Vem para nos guiar	Eîori oré pokoka
Não são segundo a quantidade deles os peixes que ele apanha (isto é, o que ele pesca é muito aquém dos peixes que há)	N'i îáî pirá sembiara
bolsa do abdômen (dos marsupiais)	ambé-aîó
Estai aqui esperando-me, junto de mim, não dormindo	Iké nhẽ peîkó xe rarõmo, xe pyri, pekere'yma
Com água nos molham a cabeça	Y pupé asé 'apiramõû
esse mesmo	ebokûé aé
Ensaquei a farinha (de mandiopuba)	Au'ipuku-nhang
Ele, após crescer, entregou-se aos homens maus, fazendo-se matar na cruz	A'e o kakuab'iré, i nheme'engi apŷabaíba supé, oîeîuká-uká ybyraîoasaba resé
Que me guarde sempre	Ta xe rarõ memẽ îepi
Puni-o	Arekomarã
Quanto mais um caminhante por um caminho que não conhece se aflige, mais deseja logo ver o dia	Memeté rakó pé o emingûabe'yma rupi oguataba'e o angekotebẽnamo, korikorinhẽa'ub 'ara repîaki
Ergui a espinhela	Aîpusû'ã-mogûyr
remédio que é a causa da cura de nossa alma	mosanga asé 'anga mombûerasaba
Ficaste dono daquilo que alguém esqueceu?	Ereîpysyrõpe abá resaraîagûera?
Vem, coisa fedorenta!	Eîori, mba'e-nem!
Ficaste quebrando a cabeça de teu filho antes de o abortar?	Ereîakangá-ngápe nde membyra i akyrar-y îanondé?
Basta, tu me matas!	Aûîé, xe îuká îepé!
"""frio coalhado"", isto é, neve, geada"	ro'ynhemoapysanga
Dou topadas no esteio	Aîapi okytá
"Está muito cheia Santa Maria daquela coisa muito boa chamada ""graça""?"	"Tynysẽngatupe Santa Maria aîpó mba'e-eté ""graça"" 'îaba resé?"
vagem cheia	Topé-pungá
Eu sou fujão	Xe kanhemixûer
Então as estrelas cairão pouco a pouco	A'ereme îasytatá o apakuîamo
Ó Pero!	Pero gûe'y!
Vim para ficar de vez (isto é, para morar)	Gûitu aîur
Se pôr a mão neste nosso fogo é terrível, tanto mais ali é terrível queimarem-se os homens eternamente	Ikó îandé ratá pupé asé po'ẽma biã iî abaeté, memetaé a'epe aûîeramanhẽ abá kaîa o abaetéramo
Eu sou luzente	Xe rendypuk
O período anterior ao dia dele é dia em que se jejua	I 'ara renondesaba 'ara îekuakupaba
água salgada (do mar)	y-e'ẽ
Cortei seus nervos	Aîpytasã-mondok
Afligiu-o muito	Oîmomboreaûsu-katu
Creio na nossa futura ressurreição	Arobîar asé rekobeîebyragûama
Embora me interessasse por elas, junto àquelas não cheguei	Anhangerekó îepé, aîpó supé n'abasemi
Hei de me embebedar para perder o juízo	T'asabeypóne 'ara mokanhema
Quando fustigava o sol a terra, eu vim	Ara yby sokeme, xe ruri
Como que em asas de pássaro	Gûyrá pepóbo pyryb
Reza a gente muito frequentemente para Santa Maria?	Oîmongetá-py'i-py'ipe asé Santa Maria?
Que venha neste dia para aquecer nossa alma	T'our kó 'ara pupé oré 'anga moakupa
Amai vosso criador	Pesaûsu pe monhangara
Eu tenho o rabo cortado	Xe rûaîasyk
Que me livre Deus do pecado	Ta xe pe'a Tupã tekoangaîpaba suí
A ti somente louvando-te muito!	Nde nhõ nde moetekatûabo!
Já afastei dessa maneira minhas maldades	Aîpe'a umûã emonã xe angaîpaba
Eis que aqui estou, o que vos enxota	Aîkobé pe mondoarama
Após vertê-la dentro de alguma casca de coco	Inaîagûasu apepûera amõ pupé i nhang'iré
Fico a espojar-me	Aîeré-îereb
Eu iria inutilmente	Îepémo asó
Que entres em meu coração, guardando meu interior	Xe nhy'ãme t'ereîké, xe py'a moingatûabo
Imediatamente eles se vingam de seu próximo	Aûnhenhẽ o apixarĩ resé îepyki
Que fuja o diabo dele	T'onhegûasem Anhanga i xuí
Esse é o que eu flechei?	Akó xe remiybõmbûera?
Essas serão teu futuro assado	Aîpó nde remixyrama
São maus estes teus servos, não me tratam bem	I angaîpá kó nde boîá, na xe rerekó-katuî
Acordo bem de madrugada	Îeîbeté apak
É terrível o senhor Jesus, fazendo tremer nosso inimigo	I abaeté pa'i Îesu, îandé sumarã mondyîa
Ostra Grande, nome de pessoa	Reriûasu
manchas diversas	pará-paraba
Estou saltando de alegria	Toryba suí apó-por gûitekóbo
Abraçaste alguma mulher?	Ereîaîubãpe kunhã amõ?
É muito diferente, de fato, a morada dos homens da minha residência	Oîaby rakó abá rekó xe retama
às costas	aseî
poleiro das aves	gûyrá rendaba
Deseja ardentemente ver o nascimento de seu filho	O membyra 'arama osepîaka'ub
Dou-lhe os filhos de Pedro	Aîta'y-me'eng Pedro
Creio na repartição das virtudes dos santos (isto é, na comunhão dos santos)	Arobîar santos rekokatu nhemoîa'oîa'oka
Eu sou leproso	Xe piryty
Furou também minha cabeça	Omombuk-y bé xe akanga
Estando com suas roupas brancas, como recompensa de o terem batizado	O aó-tinga o mongaraibagûera repyramo reroína
Iam mulheres, discípulas dele, pranteando-o	Osó kunhã semimbo'e-etá sapirõmo
Passaste à frente de tudo, nosso inimigo vencendo para sempre	Opá ereîopûã, oré sumarã reîtyka memẽ
Aguço-a	Asapûa'ok
Ai, quem me dera ir com ele hoje!	Asó temõ kori ahẽ irũmo mã!
Eu sou sensível	Xe mba'emoasyîá
Bem nesse momento perdoou a Pilatos	A'eîbé Pilatos supé oîerekûabamo
interesse pela lei de Deus	Tupã rekó resé nhemoryryîa
O que manda um falso pajé sugar outra pessoa	Paîé-a'uba supé amõ abá oîxuban-ukaryba'e
Eis que a cada Páscoa um prisioneiro fazeis-me libertar sempre	Aretegûasu îabi'õ ã mundepora moîepé peîmosemukar ixébe îepi
O diabo nos capturou	Anhanga îandé pysyki
Aimbirê, vem diante de mim! Apressa-te!	Aîmbiré, eîori xe robaké! Nde apûan!
misérias da vida	tekó poreaûsuba
outro dia, já não agora	irã é irã
Está segundo minha medida, somente	Xe îá nhote
Cantemos um pouquinho, primeiro, para festejarmos bem o dia	T'îanhe'engá-mirĩ ranhẽ 'ara momorãngatûabo
Não	-Oîporará bépe mba'e amõ a'epe oîkóbone? -Aani xûéne - Sofrerão ainda alguma coisa aí vivendo?
Coze o peixe	Emoîyb pirá
Eu dou à luz	Xe membyrar
Ainda mais nosso corpo tem saudades de sua alma, sua verdadeira companheira, a que o faz viver	Memetipó îandé reté o irũeté o moingobesara o 'anga repîaka'upa
Não pode alguém casar-se com seu parente verdadeiro?	Nd'e'ikatuîpe abá o anameté resé omendá?
roupa de algodão grossa (isto é, malha para a defesa na guerra)	amyniîu-aó-poanama
Como quando olhais para o céu, vedes sua beleza	Pema'ẽ rame'ĩ ybaka resé, pesepîak i poranga
Caburé, vem correndo!	Kaburé, îori enhana!
Os cristãos como uma unidade	I mongaraibypyretá oîepegûasu îasûá
Eu tenho a boca aberta	Xe îuru-îaî
Arranca a miséria de minha alma para que esteja firme em ti	Eporeaûsubok xe 'anga, t'i pyatã nde resé
Todos eles voltaram para trás, caindo no chão de costas	Opá i îeakypûereroîebyri, o atukupé pyterybo o'á ybype
Este pajé ruim tem um espírito protetor	Supixûar ikó paîé-angaíba
Delato gente	Aporokuaukar
Eu tenho o sangue escorrido	Xe rugûy-syryk
Meto-o pelo pescoço	Aîmondeb o aîurybo
vergôntea de cará	kará-embó
Durmo amiúde	Aker-akerĩ
Ele é lampeiro como uma onça, seguindo nosso rastro	I ara'a îagûara îá, îandé rakypûemboú
Onde ele mora?	Umãmepe sekóû?
Esfregaste teu pênis excitado?	Ereîkytykype nde ragûyrõ?
Transgride também aquele (mandamento) o que faz resguardo por causa do parto de sua esposa?	Oîaby bépe aîpó o emirekó membyrara resé oîekuakuba'e?
Tem muito cauim, porventura, meu avô Jaguaruna?	I kaûĩgûasu-pipó xe ramũîa Îagûaruna?
Por que não seriam muito fortes?	Marãmo satãngatue'ymamo?
Oxalá Deus mandasse os cadáveres de toda parte falarem	Omonhe'eng-uká temõ Tupã te'õmbûera kóbo
Fartei-me de comê-lo	Aî'useîmogûab
Que fizeram, querendo aproximá-los?	Marãpe ybŷá serekóû i mondyka potá?
os reis inimigos de Deus	Tupã sumarã reîa
Depressa haja minha comida!	Keremẽ xe remi'u rekoaba!
Não deu certo minha ida	I rambûer xe só
Insisti	Na xe apysáî
Ave Maria, a que está cheia de graça	Ave Maria, graça resé tynysemba'e
Não ia para o céu outrora a alma de nenhum homem?	Abá 'angûera amõ soe'ymi ybakype erimba'e?
Cresceram muito as águas (isto é, subiu a maré)	Our paranã - Subiu a água do mar Ourusu 'y
Vieste do céu	Ybaka suí ereîur
É por causa do chefe que a aldeia é ótima	Morubixaba ri é taba matuetéramo
nosso anjo da guarda	îandé karaibebé
Eu estou rugoso	Xe axixã
Os que ele torna padres e seus substitutos na missa tomam o pão em suas mãos, benzendo-o	Semimboabaré sekobîara bé missa pupé miapé rari o pópe sobasapa
Enfim, à sua esquerda estando os que foram pecadores	Aûîé i asu koty é i angaîpaba'epûera oîkóbone
Para mãe de Deus é feita	Tupã syrama ri i monhangymbyra
Tem muito cauim, por acaso, meu avô Jaguaruna?	I kaûĩgûasu-pipó xe ramûĩa Îagûaruna?
Eis que aqui estou, procurando-te	Kó xe rekóû nde reká
Estamos pertinho um do outro	O îoambyî oroîub
Trazendo algumas linhazinhas	Inimbó'i amõ reru
Sou leve	Abebuî
Ela é leitosa	I 'aysyk
A maldade fez feder minha alma	Xe 'anga omonem tekoangaîpaba
Caem, às vezes, os que seriam os frutos das árvores, sendo ainda flores	Okuî rakó amũme 'ybarambûera o 'yba suí 'ybotyramo oîkóbo bé
Trouxe muitas destas ostras	Aruretá kó reri
Deixei esse cadáver seu	Aseîá kó se'õmbûera
Tiveste cobiça pelas coisas de alguém?	Ereîemomotápe abá mba'e resé?
Transformo o ferro em anzol	Aîmonhang itá pindáramo
o que é cabeçudo (como o virote)	i akangagûaba'e
levantadoras de mentiras	mo'ema mopu'ambara
Por que haveria eu de o levar?	A'emop'ixé serasó-a'ubi é?
Amarrei-lhe os calcanhares	Aîpytá-pûar
Quem é? Quem está aí?	Abá-pipó?
Que eu lance fora todas as armadilhas	T'aîtyk pá koty
"Levou sua mãe e seus discípulos sobre o cume do monte chamado ""das Oliveiras"""	Ybytyra Olivete seryba'e apyra 'arybo o sy o boîá rerasóû
Sus, que ele vá!	Ne'ĩ t'osó!
Eu tenho muitos (parentes)	Xe retá
Alimentar os famintos	Ambyasybora poîa
sobre os ombros de duas pessoas, de um e do outro ombro (como a levar uma escada muito comprida)	o îoati'yba ri
Fazendo alguém ser seu alcoviteiro	O manhanamo abá moingóbo
o pai de meus filhos (isto é, meu marido legítimo)	xe membyra ruba
Para quem a gente reza pela felicidade futura de sua alma?	Abá supépe asé îeruréû o 'anga rekokaturama resé?
Mas que faremos com estas muitíssimas riquezas?	Marã-tepe ang mba'e-katupabẽ orogûerekóne?
Amarra tua rede de dormir ao longo de mim	Eîotĩ nde kesaba xe porupi
Estareis aflitos hoje	Peporeaûsu korine
na sua preocupação com torpezas	poxy resé o nheangerekosápe
a mortandade da caça	so'o paba
E quanto a ti, Boiuçu?	Marãpe nde, Mboîusu?
de dia, todo o dia	arybo
Levando uma outra semelhante a ela tão logo se consuma muito	I îaroketé rupibé amoaé sapixara rerasóbono
Mostram-se a urdir mentiras	E'i mo'ema monhanga
Coloquei uma ponte, fiz uma ponte	Anharybobõ-rung
Temos coisas comuns	Îarekó o îomba'e
para cá olhando furtivamente	kûybõ oma'ẽ-nhemima
Eu sou tísico	Xe angaîbabîar
Tiveste relação sexual com pessoa solteira?	Ereîkópe abá-mendare'yma resé?
três dedos dos pés	mosapyr mysã
o que é o único filho dele	ta'yra oîepeba'e
Meteste a mão nas partes erógenas de teu companheiro?	Erepo'ẽpe nde rapixara rapupé resé?
Do céu vieste	Ybaka suí ereîur
Ainda que me castigasse, eu falaria	Aûîebé-temo xe nupãû anhe'engĩmo
Dentro de um só pão vê tu a variedade de coisas	Oîepé mi'u pupé esepîak tekó paraba
lugar onde estará teu filho	nde membyra rendaûama
Fiquei-me apressando em ter sauiás	Anhemoanhẽ-anhẽ saûîá reru-rerupa
